word,meaning,example
Contribute,অবদান রাখা,How can I contribute to the team? (আমি কীভাবে দলে অবদান রাখতে পারি?)
Convenient,সুবিধাজনক,Is this time convenient for you? (এই সময়টি কি আপনার জন্য সুবিধাজনক?)
Convince,বিশ্বাস করানো,I managed to convince him. (আমি তাকে বিশ্বাস করাতে সক্ষম হয়েছিলাম।)
Critical,সমালোচনামূলক,His parents were critical of his choices. (তার বাবা-মা তার পছন্দের সমালোচনামূলক ছিলেন।)
Crucial,অত্যন্ত গুরুত্বপূর্ণ,It is crucial that you arrive on time. (আপনার সময়মতো আসা অত্যন্ত গুরুত্বপূর্ণ।)
Current,বর্তমান,What is your current address? (আপনার বর্তমান ঠিকানা কী?)
Decade,দশক,He lived in that house for a decade. (সে ওই বাড়িতে এক দশক ধরে বসবাস করেছিল।)
Decline,প্রত্যাখ্যান করা,He declined my offer of help. (সে আমার সাহায্যের প্রস্তাব প্রত্যাখ্যান করেছিল।)
Define,সংজ্ঞায়িত করা,How would you define this word? (আপনি এই শব্দটি কীভাবে সংজ্ঞায়িত করবেন?)
Demand,চাহিদা,There is a high demand for skilled workers. (দক্ষ কর্মীদের উচ্চ চাহিদা রয়েছে।)
Demonstrate,প্রদর্শন করা,He demonstrated how to use the machine. (সে দেখিয়েছিল কীভাবে মেশিনটি ব্যবহার করতে হয়।)
Deny,অস্বীকার করা,He denied any involvement in the crime. (সে অপরাধে কোনো জড়িত থাকার কথা অস্বীকার করেছিল।)
Depend,নির্ভর করা,You can always depend on me. (তুমি সবসময় আমার উপর নির্ভর করতে পারো।)
Describe,বর্ণনা করা,Can you describe the man? (আপনি কি লোকটিকে বর্ণনা করতে পারেন?)
Design,নকশা করা,She designed the new logo. (সে নতুন লোগোটির নকশা করেছিল।)
Destroy,ধ্বংস করা,The fire destroyed the entire building. (আগুনটি পুরো ভবনটি ধ্বংস করে দিয়েছিল।)
Determine,নির্ধারণ করা,We need to determine the cause of the problem. (আমাদেরকে সমস্যার কারণটি নির্ধারণ করতে হবে।)
Develop,উন্নয়ন করা,They are developing a new software. (তারা একটি নতুন সফ্টওয়্যার উন্নয়ন করছে।)
Efficient,দক্ষ,This is a very efficient machine. (এটি একটি খুব দক্ষ মেশিন।)
Emerge,আবির্ভূত হওয়া,A new problem has emerged. (একটি নতুন সমস্যা আবির্ভূত হয়েছে।)
Emphasize,জোর দেওয়া,He emphasized the importance of safety. (সে নিরাপত্তার গুরুত্বের উপর জোর দিয়েছিল।)
Enable,সক্ষম করা,This technology enables us to work from home. (এই প্রযুক্তি আমাদেরকে বাড়ি থেকে কাজ করতে সক্ষম করে।)
Encourage,উৎসাহিত করা,My parents always encouraged me. (আমার বাবা-মা আমাকে সবসময় উৎসাহিত করতেন।)
Engage,জড়িত থাকা,He is engaged in a new project. (সে একটি নতুন প্রকল্পে জড়িত আছে।)
Enhance,বৃদ্ধি করা,This will enhance your reputation. (এটি আপনার খ্যাতি বৃদ্ধি করবে।)
Ensure,নিশ্চিত করা,Please ensure that the door is locked. (অনুগ্রহ করে নিশ্চিত করুন যে দরজাটি তালাবদ্ধ আছে।)
Environment,পরিবেশ,We need to protect the environment. (আমাদেরকে পরিবেশ রক্ষা করতে হবে।)
Establish,প্রতিষ্ঠা করা,They established a new company. (তারা একটি নতুন কোম্পানি প্রতিষ্ঠা করেছিল।)
Estimate,আনুমানিক হিসাব করা,Can you estimate the cost? (আপনি কি খরচটি আনুমানিক হিসাব করতে পারেন?)
Evaluate,মূল্যায়ন করা,We need to evaluate the results. (আমাদেরকে ফলাফলগুলি মূল্যায়ন করতে হবে।)
Evidence,প্রমাণ,The police found new evidence. (পুলিশ নতুন প্রমাণ খুঁজে পেয়েছে।)
Evolve,বিবর্তিত হওয়া,The company has evolved over the years. (কোম্পানিটি বছরের পর বছর ধরে বিবর্তিত হয়েছে।)
Exact,নির্ভুল,What were his exact words? (তার নির্ভুল কথাগুলো কী ছিল?)
Examine,পরীক্ষা করা,The doctor examined the patient. (ডাক্তার রোগীকে পরীক্ষা করেছিলেন।)
Exist,অস্তিত্ব থাকা,Do you believe ghosts exist? (আপনি কি বিশ্বাস করেন ভূতের অস্তিত্ব আছে?)
Expand,বিস্তৃত করা,We are planning to expand our business. (আমরা আমাদের ব্যবসা বিস্তৃত করার পরিকল্পনা করছি।)
Expect,প্রত্যাশা করা,I expect to finish the work by Friday. (আমি শুক্রবারের মধ্যে কাজটি শেষ করার প্রত্যাশা করি।)
Explain,ব্যাখ্যা করা,Can you explain this rule? (আপনি কি এই নিয়মটি ব্যাখ্যা করতে পারেন?)
Explore,অন্বেষণ করা,Let's explore the new city. (চলো নতুন শহরটি অন্বেষণ করি।)
Express,প্রকাশ করা,He found it hard to express his feelings. (তার অনুভূতি প্রকাশ করা কঠিন হয়েছিল।)
Extend,বাড়ানো,Can you extend the deadline? (আপনি কি সময়সীমা বাড়াতে পারেন?)
Factor,উপাদান,Price is an important factor. (মূল্য একটি গুরুত্বপূর্ণ উপাদান।)
Failure,ব্যর্থতা,Failure is a part of learning. (ব্যর্থতা শেখার একটি অংশ।)
Focus,মনোযোগ দেওয়া,You need to focus on your studies. (তোমাকে তোমার পড়াশোনায় মনোযোগ দিতে হবে।)
Frequent,ঘনঘন,He is a frequent visitor to this place. (সে এই জায়গায় ঘনঘন আসে।)
Generate,উৎপন্ন করা,The machine generates electricity. (মেশিনটি বিদ্যুৎ উৎপন্ন করে।)
Gradual,ধীর,There has been a gradual improvement in his health. (তার স্বাস্থ্যের ধীর উন্নতি হয়েছে।)
Identify,শনাক্ত করা,Can you identify the person in the photo? (আপনি কি ছবির ব্যক্তিটিকে শনাক্ত করতে পারেন?)
Illustrate,ব্যাখ্যা করা,Let me illustrate this point with an example. (আমাকে একটি উদাহরণ দিয়ে এই বিষয়টি ব্যাখ্যা করতে দিন।)
Impact,প্রভাব,The new law will have a major impact. (নতুন আইনটির একটি বড় প্রভাব পড়বে।)
Imply,ইঙ্গিত করা,What did his silence imply? (তার নীরবতা কী ইঙ্গিত করেছিল?)
Improve,উন্নতি করা,I need to improve my English. (আমার ইংরেজি উন্নতি করতে হবে।)
Include,অন্তর্ভুক্ত করা,Does the price include tax? (মূল্যটিতে কি কর অন্তর্ভুক্ত আছে?)
Increase,বৃদ্ধি করা,They increased the price of the product. (তারা পণ্যটির মূল্য বৃদ্ধি করেছিল।)
Indicate,নির্দেশ করা,The red light indicates danger. (লাল আলো বিপদ নির্দেশ করে।)
Individual,ব্যক্তি,He is a very smart individual. (সে খুব স্মার্ট একজন ব্যক্তি।)
Influence,প্রভাব,He has a strong influence on his friends. (তার বন্ধুদের উপর তার দৃঢ় প্রভাব আছে।)
Inform,জানানো,Please inform me of your decision. (অনুগ্রহ করে আমাকে আপনার সিদ্ধান্তটি জানান।)
Initial,প্রাথমিক,My initial reaction was surprise. (আমার প্রাথমিক প্রতিক্রিয়া ছিল বিস্ময়।)
Insist,জিদ করা,He insisted on paying the bill. (সে বিলটি পরিশোধ করার জন্য জিদ করেছিল।)
Install,স্থাপন করা,We need to install the new software. (আমাদের নতুন সফ্টওয়্যারটি স্থাপন করতে হবে।)
Integrity,সততা,He is a man of integrity. (তিনি একজন সৎ মানুষ।)
Intend,উদ্দেশ্য থাকা,What do you intend to do? (তোমার কী করার উদ্দেশ্য আছে?)
Intense,তীব্র,He felt intense pain. (সে তীব্র যন্ত্রণা অনুভব করেছিল।)
Interest,আগ্রহ,She has an interest in music. (তার সঙ্গীতে আগ্রহ আছে।)
Interpret, ব্যাখ্যা করা,How do you interpret this poem? (তুমি এই কবিতাটি কীভাবে ব্যাখ্যা করো?)
Interrupt,বাধা দেওয়া,Please don't interrupt me. (অনুগ্রহ করে আমাকে বাধা দিও না।)
Invest,বিনিয়োগ করা,He invested all his money in stocks. (সে তার সব টাকা স্টকে বিনিয়োগ করেছিল।)
Investigate,তদন্ত করা,The police are investigating the case. (পুলিশ কেসটি তদন্ত করছে।)
Involve,জড়িত করা,The job involves a lot of travel. (কাজটিতে অনেক ভ্রমণ জড়িত আছে।)
Irritate,বিরক্ত করা,His constant complaining irritates me. (তার অবিরাম অভিযোগ আমাকে বিরক্ত করে।)
Issue,সমস্যা,We need to discuss this issue. (আমাদের এই সমস্যাটি নিয়ে আলোচনা করতে হবে।)
Justify,যৌক্তিকতা দেওয়া,How can you justify your actions? (তুমি তোমার কাজের যৌক্তিকতা কীভাবে দেবে?)
Launch,চালু করা,They will launch the new product next month. (তারা আগামী মাসে নতুন পণ্যটি চালু করবে।)
License,লাইসেন্স,Do you have a driver's license? (তোমার কি ড্রাইভিং লাইসেন্স আছে?)
Limit,সীমা,You need to limit your spending. (তোমাকে তোমার খরচ সীমিত করতে হবে।)
Located,অবস্থিত,The hotel is located near the beach. (হোটেলটি সমুদ্র সৈকতের কাছে অবস্থিত।)
Maintain,বজায় রাখা,He finds it hard to maintain a diet. (তার পক্ষে ডায়েট বজায় রাখা কঠিন।)
Majority,অধিকাংশ,The majority of people agreed. (অধিকাংশ মানুষ রাজি হয়েছিল।)
Manage,পরিচালনা করা,She manages a large team. (সে একটি বড় দল পরিচালনা করে।)
Manual,ম্যানুয়াল,Please read the instruction manual. (অনুগ্রহ করে নির্দেশিকা ম্যানুয়ালটি পড়ুন।)
Manufacture,উৎপাদন করা,The company manufactures cars. (কোম্পানিটি গাড়ি উৎপাদন করে।)
Mature,পরিপক্ক,He is very mature for his age. (সে তার বয়সের তুলনায় খুব পরিপক্ক।)
Measure,পরিমাপ করা,We need to measure the room. (আমাদের ঘরটি পরিমাপ করতে হবে।)
Mention,উল্লেখ করা,Did he mention my name? (সে কি আমার নাম উল্লেখ করেছিল?)
Minor,সামান্য,It's only a minor problem. (এটি কেবল একটি সামান্য সমস্যা।)
Modify,পরিবর্তন করা,We need to modify the plan. (আমাদের পরিকল্পনাটি পরিবর্তন করতে হবে।)
Monitor, পর্যবেক্ষণ করা,The nurse is monitoring his heartbeat. (নার্স তার হৃদস্পন্দন পর্যবেক্ষণ করছে।)
Mystery,রহস্য,His disappearance is a mystery. (তার অন্তর্ধান একটি রহস্য।)
Narrow,সংকীর্ণ,The road is very narrow. (রাস্তাটি খুব সংকীর্ণ।)
Negative,নেতিবাচক,He has a negative attitude. (তার একটি নেতিবাচক মনোভাব আছে।)
Neglect,অবহেলা করা,He neglected his duties. (সে তার দায়িত্বে অবহেলা করেছিল।)
Negotiate,আলোচনা করা,They are trying to negotiate a peace treaty. (তারা একটি শান্তি চুক্তি নিয়ে আলোচনা করার চেষ্টা করছে।)
Notice,লক্ষ্য করা,Did you notice any change? (তুমি কি কোনো পরিবর্তন লক্ষ্য করেছিলে?)
Objective,উদ্দেশ্য,Our main objective is to win. (আমাদের প্রধান উদ্দেশ্য হল জয়ী হওয়া।)
Obtain,অর্জন করা,He was trying to obtain a visa. (সে একটি ভিসা অর্জনের চেষ্টা করছিল।)
Obvious,স্পষ্ট,The answer is obvious. (উত্তরটি স্পষ্ট।)
Occur,ঘটা,The accident occurred at 5 PM. (দুর্ঘটনাটি বিকাল ৫টায় ঘটেছিল।)
Occupy,দখল করা,The army occupied the city. ( সেনাবাহিনী শহরটি দখল করেছিল।)
Offend,আঘাত করা,I didn't mean to offend you. (আমি তোমাকে আঘাত করতে চাইনি।)
Operate,চালানো,Do you know how to operate this machine? (তুমি কি এই মেশিনটি চালাতে জানো?)
Oppose,বিরোধিতা করা,Many people oppose the new law. (অনেকে নতুন আইনের বিরোধিতা করে।)
Option,বিকল্প,You have three options. (তোমার কাছে তিনটি বিকল্প আছে।)
Origin,উৎস,What is the origin of this word? (এই শব্দটির উৎস কী?)
Outcome,ফলাফল,What was the outcome of the meeting? (সভার ফলাফল কী ছিল?)
Participate,অংশগ্রহণ করা,Are you going to participate in the race? (তুমি কি দৌড়ে অংশগ্রহণ করতে যাচ্ছ?)
Passion,আবেগ,He spoke with great passion. (সে மிகுந்த আবেগের সাথে কথা বলেছিল।)
Pause,থামা,She paused for a moment. (সে এক মুহূর্তের জন্য থেমেছিল।)
Perceive,উপলব্ধি করা,How do you perceive the situation? (তুমি পরিস্থিতিটি কীভাবে উপলব্ধি করো?)
Perform,সম্পাদন করা,The doctor performed the surgery. (ডাক্তার অস্ত্রোপচারটি সম্পাদন করেছিলেন।)
Permit,অনুমতি দেওয়া,Smoking is not permitted here. (এখানে ধূমপানের অনুমতি নেই।)
Persist,অবিরত থাকা,If the symptoms persist, see a doctor. (যদি লক্ষণগুলি অবিরত থাকে, তবে ডাক্তার দেখান।)
Persuade,প্ররোচিত করা,He persuaded me to join the club. (সে আমাকে ক্লাবে যোগ দিতে প্ররোচিত করেছিল।)
Phrase,বাক্যাংশ,What does this phrase mean? (এই বাক্যাংশটির অর্থ কী?)
Policy,নীতি,What is the company's policy on this? (এ ব্যাপারে কোম্পানির নীতি কী?)
Portion,অংশ,He ate a large portion of the cake. (সে কেকের একটি বড় অংশ খেয়েছিল।)
Positive,ইতিবাচক,She has a positive outlook on life. (তার জীবন সম্পর্কে একটি ইতিবাচক দৃষ্টিভঙ্গি রয়েছে।)
Potential,সম্ভাবনা,She has the potential to be a great leader. (তার একজন মহান নেতা হওয়ার সম্ভাবনা আছে।)
Practical,বাস্তবসম্মত,We need a practical solution. (আমাদের একটি বাস্তবসম্মত সমাধান দরকার।)
Precede,আগে ঘটা,The rain was preceded by strong winds. (বৃষ্টির আগে প্রবল বাতাস হয়েছিল।)
Predict,ভবিষ্যদ্বাণী করা,It's hard to predict the future. (ভবিষ্যদ্বাণী করা কঠিন।)
Prefer,পছন্দ করা,I prefer tea to coffee. (আমি কফির চেয়ে চা বেশি পছন্দ করি।)
Prepare,প্রস্তুত করা,You need to prepare for the exam. (তোমাকে পরীক্ষার জন্য প্রস্তুত হতে হবে।)
Preserve,সংরক্ষণ করা,We must preserve our forests. (আমাদের অবশ্যই আমাদের বন সংরক্ষণ করতে হবে।)
Pressure,চাপ,He is under a lot of pressure. (সে অনেক চাপের মধ্যে আছে।)
Prevent,প্রতিরোধ করা,How can we prevent this disease? (আমরা কীভাবে এই রোগটি প্রতিরোধ করতে পারি?)
Previous,পূর্ববর্তী,My previous job was in Dhaka. (আমার পূর্ববর্তী চাকরিটি ঢাকায় ছিল।)
Primary,প্রাথমিক,Our primary goal is to help people. (আমাদের প্রাথমিক লক্ষ্য হল মানুষকে সাহায্য করা।)
Principle,নীতি,He is a man of principle. (তিনি একজন নীতিবান মানুষ।)
Priority,অগ্রাধিকার,My first priority is my family. (আমার প্রথম অগ্রাধিকার আমার পরিবার।)
Proceed,এগিয়ে যাওয়া,Please proceed with your work. (অনুগ্রহ করে তোমার কাজ নিয়ে এগিয়ে যাও।)
Process,প্রক্রিয়া,Learning is a slow process. (শেখা একটি ধীর প্রক্রিয়া।)
Produce,উৎপাদন করা,This factory produces toys. (এই কারখানাটি খেলনা উৎপাদন করে।)
Profit,লাভ,The company made a huge profit. (কোম্পানিটি প্রচুর লাভ করেছিল।)
Progress,অগ্রগতি,He is making good progress. (সে ভালো অগ্রগতি করছে।)
Project,প্রকল্প,I am working on a new project. (আমি একটি নতুন প্রকল্পে কাজ করছি।)
Promote,পদোন্নতি দেওয়া,She was promoted to manager. (তাকে ম্যানেজারের পদে পদোন্নতি দেওয়া হয়েছিল।)
Propose,প্রস্তাব করা,He proposed a new plan. (সে একটি নতুন পরিকল্পনা প্রস্তাব করেছিল।)
Protect,রক্ষা করা,We must protect our country. (আমাদের অবশ্যই আমাদের দেশকে রক্ষা করতে হবে।)
Provide,প্রদান করা,The hotel provides free breakfast. (হোটেলটি বিনামূল্যে সকালের নাস্তা প্রদান করে।)
Purchase,ক্রয় করা,Where did you purchase this? (তুমি এটি কোথা থেকে ক্রয় করেছিলে?)
Purpose,উদ্দেশ্য,What is the purpose of your visit? (আপনার পরিদর্শনের উদ্দেশ্য কী?)
Quality,গুণমান,This is a high-quality product. (এটি একটি উচ্চ-গুণমানের পণ্য।)
Quantity,পরিমাণ,They bought a large quantity of food. (তারা বিপুল পরিমাণ খাবার কিনেছিল।)
Range,পরিসীমা,The price range is from 100 to 500 taka. (মূল্যের পরিসীমা ১০০ থেকে ৫০০ টাকা।)
Rate,হার,What is the interest rate? (সুদের হার কত?)
React,প্রতিক্রিয়া করা,How did he react to the news? (সে খবরটিতে কীভাবে প্রতিক্রিয়া করেছিল?)
Realize,উপলব্ধি করা,I didn't realize my mistake. (আমি আমার ভুল উপলব্ধি করতে পারিনি।)
Recall,স্মরণ করা,I cannot recall his name. (আমি তার নাম স্মরণ করতে পারছি না।)
Receive,গ্রহণ করা,Did you receive my letter? (তুমি কি আমার চিঠিটি গ্রহণ করেছিলে?)
Recognize,চিনতে পারা,I did not recognize you at first. (আমি প্রথমে আপনাকে চিনতে পারিনি।)
Recommend,সুপারিশ করা,What do you recommend? (আপনি কী সুপারিশ করেন?)
Record,রেকর্ড করা,They are recording a new song. (তারা একটি নতুন গান রেকর্ড করছে।)
Recover,সুস্থ হওয়া,He is recovering from his illness. (সে তার অসুস্থতা থেকে সুস্থ হচ্ছে।)
Reduce,কমানো,We need to reduce our expenses. (আমাদের খরচ কমানো দরকার।)
Refer,উল্লেখ করা,Please refer to the manual. (অনুগ্রহ করে ম্যানুয়ালটি দেখুন।)
Reflect,প্রতিফলিত করা,The mirror reflects his image. (আয়নাটি তার প্রতিচ্ছবি প্রতিফলিত করে।)
Refuse,অস্বীকার করা,He refused to help me. (সে আমাকে সাহায্য করতে অস্বীকার করেছিল।)
Regard,বিবেচনা করা,I regard him as my brother. (আমি তাকে আমার ভাই হিসাবে বিবেচনা করি।)
Region,অঞ্চল,This is a mountainous region. (এটি একটি পার্বত্য অঞ্চল।)
Register,নিবন্ধন করা,You need to register for the course. (তোমাকে কোর্সের জন্য নিবন্ধন করতে হবে।)
Regret,অনুশোচনা করা,I regret my decision. (আমি আমার সিদ্ধান্তের জন্য অনুশোচনা করি।)
Regular,নিয়মিত,He goes for a regular check-up. (সে নিয়মিত চেকআপের জন্য যায়।)
Reject,প্রত্যাখ্যান করা,She rejected his proposal. (সে তার প্রস্তাব প্রত্যাখ্যান করেছিল।)
Relate,সম্পর্কিত করা,How do these two things relate? (এই দুটি জিনিস কীভাবে সম্পর্কিত?)
Relative,আত্মীয়,He is a close relative of mine. (সে আমার একজন নিকট আত্মীয়।)
Relax,আরাম করা,You need to relax for a bit. (তোমার কিছুক্ষণ আরাম করা দরকার।)
Release,মুক্তি দেওয়া,The government released the prisoners. (সরকার বন্দীদের মুক্তি দিয়েছে।)
Relevant,প্রাসঙ্গিক,Please provide relevant information. (অনুগ্রহ করে প্রাসঙ্গিক তথ্য দিন।)
Reliable,নির্ভরযোগ্য,He is a very reliable person. (তিনি খুব নির্ভরযোগ্য একজন মানুষ।)
Rely,নির্ভর করা,You can rely on me. (তুমি আমার উপর নির্ভর করতে পারো।)
Remove,অপসারণ করা,Please remove your shoes. (অনুগ্রহ করে তোমার জুতো অপসারণ করো।)
Repair,মেরামত করা,Can you repair this watch? (তুমি কি এই ঘড়িটি মেরামত করতে পারো?)
Replace,প্রতিস্থাপন করা,We need to replace the old battery. (আমাদের পুরনো ব্যাটারিটি প্রতিস্থাপন করতে হবে।)
Reply,উত্তর দেওয়া,He did not reply to my letter. (সে আমার চিঠির উত্তর দেয়নি।)
Report,প্রতিবেদন,The news report was shocking. (সংবাদ প্রতিবেদনটি মর্মান্তিক ছিল।)
Represent,প্রতিনিধিত্ব করা,He will represent our company. (সে আমাদের কোম্পানির প্রতিনিধিত্ব করবে।)
Request,অনুরোধ করা,I have a request for you. (তোমার কাছে আমার একটি অনুরোধ আছে।)
Require,প্রয়োজন হওয়া,This job requires patience. (এই চাকরিতে ধৈর্যের প্রয়োজন হয়।)
Research,গবেষণা,He is doing research on cancer. (সে ক্যান্সার নিয়ে গবেষণা করছে।)
Resemble,সদৃশ হওয়া,He resembles his father. (সে তার বাবার মতো দেখতে।)
Reserve,সংরক্ষণ করা,I'd like to reserve a table for two. (আমি দুজনের জন্য একটি টেবিল সংরক্ষণ করতে চাই।)
Resist,প্রতিরোধ করা,He could not resist the temptation. (সে প্রলোভন প্রতিরোধ করতে পারেনি।)
Resolve,সমাধান করা,We need to resolve this issue. (আমাদের এই সমস্যাটির সমাধান করতে হবে।)
Resource,সম্পদ,The country is rich in natural resources. (দেশটি প্রাকৃতিক সম্পদে সমৃদ্ধ।)
Respond,সাড়া দেওয়া,He did not respond to my question. (সে আমার প্রশ্নের সাড়া দেয়নি।)
Restore,পুনরুদ্ধার করা,They are trying to restore peace. (তারা শান্তি পুনরুদ্ধার করার চেষ্টা করছে।)
Restrict,সীমাবদ্ধ করা,Access to this area is restricted. (এই এলাকায় প্রবেশ সীমাবদ্ধ।)
Result,ফলাফল,What was the result of the match? (ম্যাচের ফলাফল কী ছিল?)
Retain,ধরে রাখা,He finds it hard to retain information. (তার পক্ষে তথ্য ধরে রাখা কঠিন।)
Retire,অবসর নেওয়া,He will retire next year. (তিনি আগামী বছর অবসর নেবেন।)
Reveal,প্রকাশ করা,He refused to reveal his source. (সে তার উৎস প্রকাশ করতে অস্বীকার করেছিল।)
Review,পর্যালোচনা করা,Please review this document. (অনুগ্রহ করে এই নথিটি পর্যালোচনা করুন।)
Revise, সংশোধন করা,You need to revise your essay. (তোমার প্রবন্ধটি সংশোধন করতে হবে।)
Risk,ঝুঁকি,There is a risk of accident. (দুর্ঘটনার ঝুঁকি আছে।)
Role,ভূমিকা,He played an important role. (সে একটি গুরুত্বপূর্ণ ভূমিকা পালন করেছিল।)
Routine,রুটিন,What is your daily routine? (তোমার দৈনন্দিন রুটিন কী?)
Satisfy,সন্তুষ্ট করা,The answer did not satisfy him. (উত্তরটি তাকে সন্তুষ্ট করেনি।)
Scale,স্কেল,We need a larger scale map. (আমাদের একটি বড় স্কেলের মানচিত্র দরকার।)
Schedule,সময়সূচী,What is your schedule for tomorrow? (আগামীকালের জন্য তোমার সময়সূচী কী?)
Scheme,পরিকল্পনা,The government launched a new scheme. (সরকার একটি নতুন পরিকল্পনা চালু করেছে।)
Section,বিভাগ,This section of the book is boring. (বইয়ের এই বিভাগটি বিরক্তিকর।)
Seek,খোঁজা,He is seeking a new job. (সে একটি নতুন চাকরি খুঁজছে।)
Select,নির্বাচন করা,You need to select a topic. (তোমাকে একটি বিষয় নির্বাচন করতে হবে।)
Sense,জ্ঞান,He has a good sense of humor. (তার কৌতুক জ্ঞান ভালো।)
Sequence,ক্রম,The events are in the wrong sequence. (ঘটনাগুলো ভুল ক্রমে আছে।)
